#Vehicle Trip Report,,,,,,,,,,,,,,
#Report For :07/05/2023 22:29:40 - 14/05/2023 22:29:48,,,,,,,,,,,,,,
Vehicle,Trip-No,Vehicle-Category,Trip-Start-Location,Trip-Start-In-Time,Trip-Start-Out-Time,Trip-End-Location,Trip-End-In-Time,Trip-End-Out-Time,Distance,Time-Duration,Running-Time,Dest-Detention-Time,Halt-Hours,Route-Traveled
DL1 LAD 6259,23,46,DC46,11/5/2023 10:53,11/5/2023 10:55,DC46,11/5/2023 12:18,11/5/2023 12:19,8.94,01hr 22min,00hr 20min,00hr 0min,01hr 2min,Route Link
DL1 LAD 6259,24,46,DC46,11/5/2023 12:19,11/5/2023 14:16,DC46,11/5/2023 16:56,11/5/2023 20:11,19.08,02hr 40min,00hr 37min,03hr 14min,02hr 3min,Route Link
DL1 LAD 6259,25,46,DC46,11/5/2023 16:56,11/5/2023 20:11,DC46,11/5/2023 20:32,11/5/2023 20:33,0.97,00hr 21min,00hr 2min,00hr 0min,00hr 18min,Route Link
DL1 LAD 6259,26,46,DC46,12/5/2023 7:11,12/5/2023 7:12,DC46,12/5/2023 7:24,12/5/2023 7:24,0.56,00hr 12min,00hr 1min,00hr 0min,00hr 10min,Route Link
DL1 LAD 6259,27,46,DC46,12/5/2023 7:25,12/5/2023 7:29,DC46,12/5/2023 7:29,12/5/2023 9:42,0.21,00hr 0min,00hr 0min,02hr 12min,00hr 0min,Route Link
DL1 LAD 6259,28,46,DC46,12/5/2023 7:29,12/5/2023 9:42,DC46,12/5/2023 9:55,12/5/2023 9:59,0.53,00hr 13min,00hr 1min,00hr 3min,00hr 12min,Route Link
DL1 LAD 6259,29,46,DC46,12/5/2023 9:59,12/5/2023 10:01,DC46,12/5/2023 13:22,12/5/2023 17:06,18.37,03hr 21min,00hr 42min,03hr 44min,02hr 38min,Route Link
DL1 LAD 6259,30,46,DC46,12/5/2023 13:22,12/5/2023 17:06,DC46,12/5/2023 18:55,12/5/2023 18:55,12.56,01hr 48min,00hr 27min,00hr 0min,01hr 20min,Route Link
DL1 LAD 6259,31,46,DC46,12/5/2023 18:55,12/5/2023 19:02,DC46,12/5/2023 19:05,13/05/2023 07:26 AM,0.32,00hr 3min,00hr 0min,12hr 20min,00hr 2min,Route Link
DL1 LAD 6259,32,46,DC46,12/5/2023 19:05,13/05/2023 07:26 AM,DC46,13/05/2023 07:30 AM,13/05/2023 08:23 AM,0.56,00hr 4min,00hr 1min,00hr 52min,00hr 3min,Route Link
